year,value,yoy_change
1995,117405.5,
1996,119824.125,2.0600610703927824
1997,122935.5,2.5966181685032064
1998,126140.625,2.6071598521175687
1999,129228.0,2.4475659606094435
2000,132014.29166666666,2.15610523003269
2001,132075.41666666666,0.04630180507603221
2002,130633.79166666667,-1.0915165262271098
2003,130327.875,-0.23417881603503554
2004,131762.375,1.1006854826720591
2005,134027.95833333334,1.7194463391642323
2006,136434.125,1.7952721928975457
2007,137979.66666666666,1.1328116529985888
2008,137224.83333333334,-0.5470612819763132
2009,131293.29166666666,-4.322498721684253
2010,130339.58333333333,-0.7263953254783573
2011,131915.45833333334,1.2090532742995208
2012,134155.625,1.6981835904371856
2013,136361.91666666666,1.6445763393571067
2014,138931.08333333334,1.8840793158891644
2015,141812.95833333334,2.074319821638193
2016,144333.625,1.7774586302203632
2017,146608.45833333334,1.576093812743462
2018,148901.125,1.5638024522800498
2019,150905.125,1.345859542699901
2020,142173.66666666666,-5.786058182804155
2021,146280.95833333334,2.888925750432003
2022,152528.0,4.270577481746729
2023,155873.375,2.1932858229308794
2024,157959.45833333334,1.338319217976358
2025,159146.1875,0.7512871841851787
