supersector_name,year,month_num,month,value,t_global,date
Construction,1995,1,January,5234.0,23941,1995-01-01
Construction,1995,2,February,5192.0,23942,1995-02-01
Construction,1995,3,March,5242.0,23943,1995-03-01
Construction,1995,4,April,5252.0,23944,1995-04-01
Construction,1995,5,May,5220.0,23945,1995-05-01
Construction,1995,6,June,5250.0,23946,1995-06-01
Construction,1995,7,July,5262.0,23947,1995-07-01
Construction,1995,8,August,5286.0,23948,1995-08-01
Construction,1995,9,September,5324.0,23949,1995-09-01
Construction,1995,10,October,5353.0,23950,1995-10-01
Construction,1995,11,November,5358.0,23951,1995-11-01
Construction,1995,12,December,5344.0,23952,1995-12-01
Construction,1996,1,January,5355.0,23953,1996-01-01
Construction,1996,2,February,5415.0,23954,1996-02-01
Construction,1996,3,March,5446.0,23955,1996-03-01
Construction,1996,4,April,5474.0,23956,1996-04-01
Construction,1996,5,May,5498.0,23957,1996-05-01
Construction,1996,6,June,5534.0,23958,1996-06-01
Construction,1996,7,July,5557.0,23959,1996-07-01
Construction,1996,8,August,5586.0,23960,1996-08-01
Construction,1996,9,September,5610.0,23961,1996-09-01
Construction,1996,10,October,5643.0,23962,1996-10-01
Construction,1996,11,November,5668.0,23963,1996-11-01
Construction,1996,12,December,5675.0,23964,1996-12-01
Construction,1997,1,January,5675.0,23965,1997-01-01
Construction,1997,2,February,5722.0,23966,1997-02-01
Construction,1997,3,March,5751.0,23967,1997-03-01
Construction,1997,4,April,5764.0,23968,1997-04-01
Construction,1997,5,May,5793.0,23969,1997-05-01
Construction,1997,6,June,5793.0,23970,1997-06-01
Construction,1997,7,July,5817.0,23971,1997-07-01
Construction,1997,8,August,5846.0,23972,1997-08-01
Construction,1997,9,September,5874.0,23973,1997-09-01
Construction,1997,10,October,5883.0,23974,1997-10-01
Construction,1997,11,November,5899.0,23975,1997-11-01
Construction,1997,12,December,5938.0,23976,1997-12-01
Construction,1998,1,January,5983.0,23977,1998-01-01
Construction,1998,2,February,5997.0,23978,1998-02-01
Construction,1998,3,March,5969.0,23979,1998-03-01
Construction,1998,4,April,6049.0,23980,1998-04-01
Construction,1998,5,May,6087.0,23981,1998-05-01
Construction,1998,6,June,6130.0,23982,1998-06-01
Construction,1998,7,July,6172.0,23983,1998-07-01
Construction,1998,8,August,6215.0,23984,1998-08-01
Construction,1998,9,September,6225.0,23985,1998-09-01
Construction,1998,10,October,6262.0,23986,1998-10-01
Construction,1998,11,November,6301.0,23987,1998-11-01
Construction,1998,12,December,6378.0,23988,1998-12-01
Construction,1999,1,January,6357.0,23989,1999-01-01
Construction,1999,2,February,6429.0,23990,1999-02-01
Construction,1999,3,March,6402.0,23991,1999-03-01
Construction,1999,4,April,6480.0,23992,1999-04-01
Construction,1999,5,May,6516.0,23993,1999-05-01
Construction,1999,6,June,6547.0,23994,1999-06-01
Construction,1999,7,July,6571.0,23995,1999-07-01
Construction,1999,8,August,6586.0,23996,1999-08-01
Construction,1999,9,September,6613.0,23997,1999-09-01
